Turkiet;1;0;Italien;
Wales;0;1;Schweiz;
Turkiet;1;0;Wales;
Italien;2;1;Schweiz;
Italien;3;1;Wales;
Turkiet;2;2;Schweiz;

Denmark;2;1;Finland;
Belgien;2;0;Ryssland;
Finland;0;0;Ryssland;
Denmark;1;0;Belgien;
Finland;0;3;Belgien;
Denmark;1;1;Ryssland;

Österrike;0;0;Nordmakedonien;
Nederländerna;2;0;Ukraina;
Nederländerna;2;1;Österrike;
Ukraina;1;0;Nordmakedonien;
Österrike;1;1;Ukraina;
Nederländerna;3;1;Nordmakedonien;

England;3;1;Kroatien;
Skottland;0;0;Tjeckien;
Kroatien;2;2;Tjeckien;
Skottland;1;1;England;
Kroatien;1;1;Skottland;
England;1;1;Tjeckien;

Spanien;2;1;Sverige;
Polen;2;1;Slovakien;
Sverige;2;0;Slovakien;
Spanien;1;0;Polen;
Sverige;1;1;Polen;
Spanien;3;0;Slovakien;

Ungern;0;2;Portugal;
Frankrike;2;1;Tyskland;
Ungern;0;2;Frankrike;
Portugal;2;1;Tyskland;
Ungern;1;4;Tyskland;
Frankrike;2;1;Portugal;
